Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
1484 Newcomb Ave,San Francisco,CA,94124,759000,3,1,798,2614,37.734166,-122.387392
1712 LA Salle Ave,San Francisco,CA,94124,699000,2,1,841,2614,37.738013,-122.390817
833 Ingerson Ave,San Francisco,CA,94124,1499000,5,3.5,2401,2614,37.717247,-122.390272
1344 Thomas Ave,San Francisco,CA,94124,649000,2,1,1205,2614,37.727905,-122.386329
1466 Revere Ave,San Francisco,CA,94124,859000,3,2,1789,2614,37.730454,-122.387489
1406 Thomas Ave,San Francisco,CA,94124,1095000,3,2.5,,1742,37.728578,-122.387589
1519 LA Salle Ave,San Francisco,CA,94124,995000,3,1,,2614,37.735454,-122.387374
1606 Quesada Ave,San Francisco,CA,94124,799000,2,1,,2614,37.7326,-122.389616
1647 Quesada Ave,San Francisco,CA,94124,798000,3,2,1670,2614,37.732597,-122.390681
3225 Ingalls St,San Francisco,CA,94124,799000,2,2,825,2614,37.718626,-122.393074
1819 Palou Ave,San Francisco,CA,94124,725000,3,1,790,2600,37.736324,-122.395582
1370 Quesada Ave,San Francisco,CA,94124,814900,4,1.5,1211,2495,37.73006,-122.385129
1947 Palou Ave,San Francisco,CA,94124,749000,2,1,1164,2614,37.737464,-122.397595
1630 Wallace Loop,San Francisco,CA,94124,755000,2,1,1064,2614,37.728026,-122.391546
1638 Quesada Ave,San Francisco,CA,94124,895000,3,1,,,37.732919,-122.390179
1216 Newhall St,San Francisco,CA,94124,899000,3,2,1472,1125,37.736562,-122.391699
2083 Palou Ave,San Francisco,CA,94124,899000,3,2,1067,2614,37.738867,-122.400059
1487 Underwood Ave,San Francisco,CA,94124,950000,5,2,1488,2614,37.728376,-122.389897
1430 Oakdale Ave,San Francisco,CA,94124,1275000,3,2,1450,2614,37.733036,-122.387039
1670 Newcomb Ave,San Francisco,CA,94124,850000,2,1,1041,2495,37.736219,-122.390991
6 Flora St,San Francisco,CA,94124,995000,3,2,1942,2178,37.732606,-122.394431
1463 Thomas Ave,San Francisco,CA,94124,888000,2,1,995,2614,37.72876,-122.388908
176 Topeka Ave,San Francisco,CA,94124,995000,2,1,1034,2178,37.73329,-122.398215
607 Los Palmos Dr,San Francisco,CA,94127,2495000,3,2.5,3440,6534,37.73457,-122.455765
117 Robinhood Dr,San Francisco,CA,94127,3800000,5,4.5,4005,8276,37.737029,-122.456512
111 Santa Paula Ave,San Francisco,CA,94127,3300000,3,3,,5663,37.737747,-122.462991
300 Molimo Dr,San Francisco,CA,94127,3300000,4,5.5,3338,4356,37.736928,-122.45185
